# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment,field2,part (m/s),datatypes/templates,divider/values,unit,comment,field3,part (m/s),datatypes/templates,divider/values,unit,comment,field4,part (m/s),datatypes/templates,divider/values,unit,comment,field5,part (m/s),datatypes/templates,divider/values,unit,comment
r,,SoftwareVersion,,,3c,4022,00,,,STR:*,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,Ventilatorbetrieb,,,3c,4022,01,,,UIR,0=Feuchteschutz;1=Reduziert;2=Normal;3=Intensiv,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,TatsaechlicheDrehzahlZuluft,,,3c,4022,02,,,UIR,,rpm,,,,,,,,,,,,,,,,,,,,,,,,,
r,,TatsaechlicheDrehzahlAbluft,,,3c,4022,03,,,UIR,,rpm,,,,,,,,,,,,,,,,,,,,,,,,,
r,,WertDIPSchalter,,,3c,4022,04,,,UIR,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,Ablufttemperatur,,,3c,4022,07,,,SIR,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,
r,,Aussenlufttemperatur,,,3c,4022,08,,,SIR,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,
r,,Zuluftmenge,,,3c,4022,09,,,UIR,,m³/h,,,,,,,,,,,,,,,,,,,,,,,,,
r,,Abluftmenge ,,,3c,4022,0a,,,UIR,,m³/h,,,,,,,,,,,,,,,,,,,,,,,,,
r,,TatsaechlicheZuluftmenge,,,3c,4022,0b,,,UIR,,m³/h,,,,,,,,,,,,,,,,,,,,,,,,,
r,,TatsaechlicheAbluftmenge,,,3c,4022,0c,,,UIR,,m³/h,,,,,,,,,,,,,,,,,,,,,,,,,
r,,IstwertZuluftdruck,,,3c,4022,14,,,UIR,10,Pa,,,,,,,,,,,,,,,,,,,,,,,,,
r,,IstwertAbluftdruck,,,3c,4022,15,,,UIR,10,Pa,,,,,,,,,,,,,,,,,,,,,,,,,
r,,eBusSynchFehler,,,3c,4022,64,,,UIR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,BetriebsstundenTotal,,,3c,4050,24,aktuell,,UIR,-5,h,,,,UIR,,,,,,UIR,,,,,,UIR,,,,,,UIR,,,
r,,LuftmengeTotal,,,3c,4050,25,aktuell,,UIR,-1000,m³,,,,UIR,,,,,,UIR,,,,,,UIR,,,,,,UIR,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,LuftmengeStufe0,,,3c,4050,21,aktuell,,UIR,,m³/h,,minimum,,UIR,,m³/h,,maximum,,UIR,,m³/h,,Schrittgroesse,,UIR,,m³/h,,Werkseinstellung,,UIR,,m³/h,
r,,LuftmengeStufe1,,,3c,4050,01,aktuell,,UIR,,m³/h,,minimum,,UIR,,m³/h,,maximum,,UIR,,m³/h,,Schrittgroesse,,UIR,,m³/h,,Werkseinstellung,,UIR,,m³/h,
r,,LuftmengeStufe2,,,3c,4050,02,aktuell,,UIR,,m³/h,,minimum,,UIR,,m³/h,,maximum,,UIR,,m³/h,,Schrittgroesse,,UIR,,m³/h,,Werkseinstellung,,UIR,,m³/h,
r,,LuftmengeStufe3,,,3c,4050,03,aktuell,,UIR,,m³/h,,minimum,,UIR,,m³/h,,maximum,,UIR,,m³/h,,Schrittgroesse,,UIR,,m³/h,,Werkseinstellung,,UIR,,m³/h,
r,,BypassTemperatur,,,3c,4050,04,aktuell,,SIR,10,°C,,minimum,,SIR,10,°C,,maximum,,SIR,10,°C,,Schrittgroesse,,SIR,10,°C,,Werkseinstellung,,SIR,10,°C,
r,,BypassHysterese,,,3c,4050,30,aktuell,,SIR,10,°C,,minimum,,SIR,10,°C,,maximum,,SIR,10,°C,,Schrittgroesse,,SIR,10,°C,,Werkseinstellung,,SIR,10,°C,
r,,Bypassbetrieb,,,3c,4050,1b,aktuell,,UIR,,,,minimum,,UIR,,,,maximum,,UIR,,,,Schrittgroesse,,UIR,,,,Werkseinstellung,,UIR,,,
r,,ZentralheizungWRG,,,3c,4050,07,aktuell,,UIR,,,,minimum,,UIR,,,,maximum,,UIR,,,,Schrittgroesse,,UIR,,,,Werkseinstellung,,UIR,,,
r,,UngleichgewichtMoeglich,,,3c,4050,08,aktuell,,UIR,,,,minimum,,UIR,,,,maximum,,UIR,,,,Schrittgroesse,,UIR,,,,Werkseinstellung,,UIR,,,
r,,StaendigesUngleichgewicht,,,3c,4050,09,aktuell,,SIR,,m³/h,,minimum,,SIR,,m³/h,,maximum,,SIR,,m³/h,,Schrittgroesse,,SIR,,m³/h,,Werkseinstellung,,SIR,,m³/h,
r,,RHSensorVorhanden,,,3c,4050,32,aktuell,,UIR,,,,minimum,,UIR,,,,maximum,,UIR,,,,Schrittgroesse,,UIR,,,,Werkseinstellung,,UIR,,,
r,,RHSensorEmpfindlichkeit,,,3c,4050,33,aktuell,,SIR,,,,minimum,,SIR,,,,maximum,,SIR,,,,Schrittgroesse,,SIR,,,,Werkseinstellung,,SIR,,,
r,,BeleuchtungDisplay,,,3c,4050,1d,aktuell,,UIR,,%,,minimum,,UIR,,%,,maximum,,UIR,,%,,Schrittgroesse,,UIR,,%,,Werkseinstellung,,UIR,,%,
